id,0_cv_score,0_n_rounds,1_cv_score,1_n_rounds,2_cv_score,2_n_rounds,3_cv_score,3_n_rounds,4_cv_score,4_n_rounds,alpha,colsample_bytree,eta,gamma,max_depth,min_child_weight,n_rounds,nthread,score,seed,silent,subsample
41,1135.63093241,658.0,1130.78044448,544.0,1143.35641391,913.0,1141.09958304,547.0,1126.03316933,633.0,7.25,0.4,0.1,0.85,9.0,118.0,659.0,20.0,1135.38010863,2016.0,1.0,0.75
42,1135.74179798,1215.0,1132.20215814,1081.0,1141.78787869,1412.0,1140.52112896,901.0,1128.10237972,803.0,8.0,0.3,0.1,1.05,7.0,114.0,1082.0,20.0,1135.6710687,2016.0,1.0,0.7
43,1137.33487402,552.0,1132.22120518,721.0,1144.24211881,795.0,1138.86475961,1027.0,1130.58079042,801.0,8.5,0.65,0.1,1.0,9.0,137.0,779.0,20.0,1136.64874961,2016.0,1.0,0.6
44,1138.1765685,293.0,1130.9674601,340.0,1143.98793634,434.0,1140.03122923,454.0,1128.83771602,344.0,5.75,0.5,0.1,0.8,13.0,93.0,373.0,20.0,1136.40018204,2016.0,1.0,0.8
45,1138.8641233,692.0,1132.24404984,472.0,1142.38323203,621.0,1139.5088643,675.0,1123.8170372,648.0,6.75,0.35,0.1,0.95,11.0,107.0,621.0,20.0,1135.36346133,2016.0,1.0,0.7
46,1137.67476338,435.0,1131.26212937,415.0,1142.07363768,413.0,1140.21638368,421.0,1128.55674052,370.0,6.25,0.45,0.1,0.65,10.0,132.0,410.0,20.0,1135.95673093,2016.0,1.0,0.75
47,1136.37435362,897.0,1131.6034065,884.0,1144.85407981,629.0,1143.47807714,508.0,1127.16585924,883.0,9.0,0.55,0.1,1.15,12.0,123.0,760.0,20.0,1136.69515526,2016.0,1.0,0.65
48,1136.52847027,509.0,1131.5069147,602.0,1141.23498526,707.0,1138.6362211,810.0,1127.3742714,756.0,10.0,0.3,0.1,0.7,8.0,128.0,676.0,20.0,1135.05617255,2016.0,1.0,0.75
49,1135.85818196,1075.0,1130.98724871,885.0,1141.77458005,1484.0,1141.42205749,983.0,1127.19303656,1290.0,9.25,0.4,0.1,1.2,9.0,111.0,1143.0,20.0,1135.44702096,2016.0,1.0,0.8
50,1137.79669918,451.0,1131.74169092,463.0,1141.76105554,567.0,1141.3005167,445.0,1128.6252255,513.0,7.75,0.65,0.1,0.6,9.0,136.0,487.0,20.0,1136.24503757,2016.0,1.0,0.75
